curve,source_type,torus_status,p,q,pq,target_pq_plus_1_abs,epsilon_SE,sigma,model_id,chi,local_turns,attachment_turns,total_turns,residual_to_chi,charge_leak_turns,decoherence_residual,allowed_n,selected_n_core,min_energy,sl_phys_abs,exact_holonomy_chi,integer_selection_chi,exact_pq_plus_1,charge_safe,audit_status
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0,1.0,C1_COMPENSATED_NEUTRAL_MATTER,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0,1.0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1,0,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0,1.0,C3_UNCOMPENSATED_LOCAL_ONLY,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,LOCAL_ONLY_TRIVIAL_EPS0
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0,1.0,C4_PARTIAL_COMPENSATION,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,PARTIAL_COMPENSATION_FAILS_EXACTNESS
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0,1.0,C5_CHARGE_LEAK,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CHARGE_LEAK_SUPPRESSED_EXACT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0,1.0,C6_DECOHERED_RESIDUAL,1,1,0,1.01,0.01,0,0.01,"-5,-3,-1,1,3,5",1,0.0001,7,NO,YES,YES,YES,DECOHERED_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0,1.0,C7_Q_DEP_COMPENSATED,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0,1.0,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501,0,2.501,1.501,0,0,"-5,-3,-1,1,3,5",3,0.249001,9,NO,NO,NO,YES,PASSIVE_TRANSIT_REJECTED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.01,1.0,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,BASELINE_EXACT_ATTACHMENT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.01,1.0,C1_COMPENSATED_NEUTRAL_MATTER,1,0.990099009901,0.00990099009901,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.01,1.0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.990099009901,-0.00990099009901,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.01,1.0,C3_UNCOMPENSATED_LOCAL_ONLY,1,0.990099009901,0,0.990099009901,-0.00990099009901,0,0,"-5,-3,-1,1,3,5",1,9.80296049407e-05,7,NO,YES,YES,YES,SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.01,1.0,C4_PARTIAL_COMPENSATION,1,0.990099009901,0.0049504950495,0.99504950495,-0.0049504950495,0,0,"-5,-3,-1,1,3,5",1,2.45074012352e-05,7,NO,YES,YES,YES,PARTIAL_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.01,1.0,C5_CHARGE_LEAK,1,0.990099009901,0.00980198019802,0.999900990099,-9.90099009901e-05,9.90099009901e-05,0,"-5,-3,-1,1,3,5",1,9.80296049407e-09,7,NO,YES,YES,NO,CHARGE_LEAK_REJECT_OR_CONSTRAIN
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.01,1.0,C6_DECOHERED_RESIDUAL,1,0.990099009901,0.00990099009901,1.01,0.01,0,0.01,"-5,-3,-1,1,3,5",1,0.0001,7,NO,YES,YES,YES,DECOHERED_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.01,1.0,C7_Q_DEP_COMPENSATED,1,0.990295107942,0.00970489205783,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.01,1.0,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501,0,2.501,1.501,0,0,"-5,-3,-1,1,3,5",3,0.249001,9,NO,NO,NO,YES,PASSIVE_TRANSIT_REJECTED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.1,1.0,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,BASELINE_EXACT_ATTACHMENT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.1,1.0,C1_COMPENSATED_NEUTRAL_MATTER,1,0.909090909091,0.0909090909091,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.1,1.0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.909090909091,-0.0909090909091,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.1,1.0,C3_UNCOMPENSATED_LOCAL_ONLY,1,0.909090909091,0,0.909090909091,-0.0909090909091,0,0,"-5,-3,-1,1,3,5",1,0.00826446280992,7,NO,YES,YES,YES,SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.1,1.0,C4_PARTIAL_COMPENSATION,1,0.909090909091,0.0454545454545,0.954545454545,-0.0454545454545,0,0,"-5,-3,-1,1,3,5",1,0.00206611570248,7,NO,YES,YES,YES,PARTIAL_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.1,1.0,C5_CHARGE_LEAK,1,0.909090909091,0.09,0.999090909091,-0.000909090909091,0.000909090909091,0,"-5,-3,-1,1,3,5",1,8.26446280992e-07,7,NO,YES,YES,NO,CHARGE_LEAK_REJECT_OR_CONSTRAIN
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.1,1.0,C6_DECOHERED_RESIDUAL,1,0.909090909091,0.0909090909091,1.01,0.01,0,0.01,"-5,-3,-1,1,3,5",1,0.0001,7,NO,YES,YES,YES,DECOHERED_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.1,1.0,C7_Q_DEP_COMPENSATED,1,0.910746812386,0.0892531876138,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,0.1,1.0,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501,0,2.501,1.501,0,0,"-5,-3,-1,1,3,5",3,0.249001,9,NO,NO,NO,YES,PASSIVE_TRANSIT_REJECTED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,1,1.0,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,BASELINE_EXACT_ATTACHMENT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,1,1.0,C1_COMPENSATED_NEUTRAL_MATTER,1,0.5,0.5,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,1,1.0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.5,-0.5,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,1,1.0,C3_UNCOMPENSATED_LOCAL_ONLY,1,0.5,0,0.5,-0.5,0,0,"-5,-3,-1,1,3,5",1,0.25,7,NO,YES,YES,YES,SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,1,1.0,C4_PARTIAL_COMPENSATION,1,0.5,0.25,0.75,-0.25,0,0,"-5,-3,-1,1,3,5",1,0.0625,7,NO,YES,YES,YES,PARTIAL_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,1,1.0,C5_CHARGE_LEAK,1,0.5,0.495,0.995,-0.005,0.005,0,"-5,-3,-1,1,3,5",1,2.5e-05,7,NO,YES,YES,NO,CHARGE_LEAK_REJECT_OR_CONSTRAIN
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,1,1.0,C6_DECOHERED_RESIDUAL,1,0.5,0.5,1.01,0.01,0,0.01,"-5,-3,-1,1,3,5",1,0.0001,7,NO,YES,YES,YES,DECOHERED_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,1,1.0,C7_Q_DEP_COMPENSATED,1,0.505050505051,0.494949494949,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,2)",analytic,PASS_DERIVED_PQ,3,2,6,7,1,1.0,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501,0,2.501,1.501,0,0,"-5,-3,-1,1,3,5",3,0.249001,9,NO,NO,NO,YES,PASSIVE_TRANSIT_REJECTED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0,1.0,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,BASELINE_EXACT_ATTACHMENT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0,1.0,C1_COMPENSATED_NEUTRAL_MATTER,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0,1.0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1,0,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,13,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0,1.0,C3_UNCOMPENSATED_LOCAL_ONLY,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,LOCAL_ONLY_TRIVIAL_EPS0
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0,1.0,C4_PARTIAL_COMPENSATION,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,PARTIAL_COMPENSATION_FAILS_EXACTNESS
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0,1.0,C5_CHARGE_LEAK,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,CHARGE_LEAK_SUPPRESSED_EXACT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0,1.0,C6_DECOHERED_RESIDUAL,1,1,0,1.01,0.01,0,0.01,"-5,-3,-1,1,3,5",1,0.0001,13,NO,YES,YES,YES,DECOHERED_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0,1.0,C7_Q_DEP_COMPENSATED,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0,1.0,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501,0,2.501,1.501,0,0,"-5,-3,-1,1,3,5",3,0.249001,15,NO,NO,NO,YES,PASSIVE_TRANSIT_REJECTED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.01,1.0,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,BASELINE_EXACT_ATTACHMENT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.01,1.0,C1_COMPENSATED_NEUTRAL_MATTER,1,0.990099009901,0.00990099009901,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.01,1.0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.990099009901,-0.00990099009901,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,13,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.01,1.0,C3_UNCOMPENSATED_LOCAL_ONLY,1,0.990099009901,0,0.990099009901,-0.00990099009901,0,0,"-5,-3,-1,1,3,5",1,9.80296049407e-05,13,NO,YES,YES,YES,SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.01,1.0,C4_PARTIAL_COMPENSATION,1,0.990099009901,0.0049504950495,0.99504950495,-0.0049504950495,0,0,"-5,-3,-1,1,3,5",1,2.45074012352e-05,13,NO,YES,YES,YES,PARTIAL_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.01,1.0,C5_CHARGE_LEAK,1,0.990099009901,0.00980198019802,0.999900990099,-9.90099009901e-05,9.90099009901e-05,0,"-5,-3,-1,1,3,5",1,9.80296049407e-09,13,NO,YES,YES,NO,CHARGE_LEAK_REJECT_OR_CONSTRAIN
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.01,1.0,C6_DECOHERED_RESIDUAL,1,0.990099009901,0.00990099009901,1.01,0.01,0,0.01,"-5,-3,-1,1,3,5",1,0.0001,13,NO,YES,YES,YES,DECOHERED_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.01,1.0,C7_Q_DEP_COMPENSATED,1,0.989902989507,0.010097010493,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.01,1.0,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501,0,2.501,1.501,0,0,"-5,-3,-1,1,3,5",3,0.249001,15,NO,NO,NO,YES,PASSIVE_TRANSIT_REJECTED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.1,1.0,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,BASELINE_EXACT_ATTACHMENT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.1,1.0,C1_COMPENSATED_NEUTRAL_MATTER,1,0.909090909091,0.0909090909091,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.1,1.0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.909090909091,-0.0909090909091,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,13,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.1,1.0,C3_UNCOMPENSATED_LOCAL_ONLY,1,0.909090909091,0,0.909090909091,-0.0909090909091,0,0,"-5,-3,-1,1,3,5",1,0.00826446280992,13,NO,YES,YES,YES,SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.1,1.0,C4_PARTIAL_COMPENSATION,1,0.909090909091,0.0454545454545,0.954545454545,-0.0454545454545,0,0,"-5,-3,-1,1,3,5",1,0.00206611570248,13,NO,YES,YES,YES,PARTIAL_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.1,1.0,C5_CHARGE_LEAK,1,0.909090909091,0.09,0.999090909091,-0.000909090909091,0.000909090909091,0,"-5,-3,-1,1,3,5",1,8.26446280992e-07,13,NO,YES,YES,NO,CHARGE_LEAK_REJECT_OR_CONSTRAIN
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.1,1.0,C6_DECOHERED_RESIDUAL,1,0.909090909091,0.0909090909091,1.01,0.01,0,0.01,"-5,-3,-1,1,3,5",1,0.0001,13,NO,YES,YES,YES,DECOHERED_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.1,1.0,C7_Q_DEP_COMPENSATED,1,0.907441016334,0.0925589836661,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,0.1,1.0,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501,0,2.501,1.501,0,0,"-5,-3,-1,1,3,5",3,0.249001,15,NO,NO,NO,YES,PASSIVE_TRANSIT_REJECTED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,1,1.0,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,BASELINE_EXACT_ATTACHMENT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,1,1.0,C1_COMPENSATED_NEUTRAL_MATTER,1,0.5,0.5,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,1,1.0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.5,-0.5,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,13,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,1,1.0,C3_UNCOMPENSATED_LOCAL_ONLY,1,0.5,0,0.5,-0.5,0,0,"-5,-3,-1,1,3,5",1,0.25,13,NO,YES,YES,YES,SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,1,1.0,C4_PARTIAL_COMPENSATION,1,0.5,0.25,0.75,-0.25,0,0,"-5,-3,-1,1,3,5",1,0.0625,13,NO,YES,YES,YES,PARTIAL_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,1,1.0,C5_CHARGE_LEAK,1,0.5,0.495,0.995,-0.005,0.005,0,"-5,-3,-1,1,3,5",1,2.5e-05,13,NO,YES,YES,NO,CHARGE_LEAK_REJECT_OR_CONSTRAIN
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,1,1.0,C6_DECOHERED_RESIDUAL,1,0.5,0.5,1.01,0.01,0,0.01,"-5,-3,-1,1,3,5",1,0.0001,13,NO,YES,YES,YES,DECOHERED_SELECTION_STABLE_NOT_EXACT
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,1,1.0,C7_Q_DEP_COMPENSATED,1,0.49504950495,0.50495049505,1,0,0,0,"-5,-3,-1,1,3,5",1,0,13,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
"analytic:T(3,4)",analytic,PASS_DERIVED_PQ,3,4,12,13,1,1.0,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501,0,2.501,1.501,0,0,"-5,-3,-1,1,3,5",3,0.249001,15,NO,NO,NO,YES,PASSIVE_TRANSIT_REJECTED
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0,1.0,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,BASELINE_EXACT_ATTACHMENT
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0,1.0,C1_COMPENSATED_NEUTRAL_MATTER,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0,1.0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1,0,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0,1.0,C3_UNCOMPENSATED_LOCAL_ONLY,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,LOCAL_ONLY_TRIVIAL_EPS0
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0,1.0,C4_PARTIAL_COMPENSATION,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,PARTIAL_COMPENSATION_FAILS_EXACTNESS
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0,1.0,C5_CHARGE_LEAK,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CHARGE_LEAK_SUPPRESSED_EXACT
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0,1.0,C6_DECOHERED_RESIDUAL,1,1,0,1.01,0.01,0,0.01,"-5,-3,-1,1,3,5",1,0.0001,7,NO,YES,YES,YES,DECOHERED_SELECTION_STABLE_NOT_EXACT
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0,1.0,C7_Q_DEP_COMPENSATED,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0,1.0,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501,0,2.501,1.501,0,0,"-5,-3,-1,1,3,5",3,0.249001,9,NO,NO,NO,YES,PASSIVE_TRANSIT_REJECTED
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0.01,1.0,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,BASELINE_EXACT_ATTACHMENT
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0.01,1.0,C1_COMPENSATED_NEUTRAL_MATTER,1,0.990099009901,0.00990099009901,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0.01,1.0,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.990099009901,-0.00990099009901,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0.01,1.0,C3_UNCOMPENSATED_LOCAL_ONLY,1,0.990099009901,0,0.990099009901,-0.00990099009901,0,0,"-5,-3,-1,1,3,5",1,9.80296049407e-05,7,NO,YES,YES,YES,SELECTION_STABLE_BUT_HOLONOMY_NOT_EXACT
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0.01,1.0,C4_PARTIAL_COMPENSATION,1,0.990099009901,0.0049504950495,0.99504950495,-0.0049504950495,0,0,"-5,-3,-1,1,3,5",1,2.45074012352e-05,7,NO,YES,YES,YES,PARTIAL_SELECTION_STABLE_NOT_EXACT
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0.01,1.0,C5_CHARGE_LEAK,1,0.990099009901,0.00980198019802,0.999900990099,-9.90099009901e-05,9.90099009901e-05,0,"-5,-3,-1,1,3,5",1,9.80296049407e-09,7,NO,YES,YES,NO,CHARGE_LEAK_REJECT_OR_CONSTRAIN
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0.01,1.0,C6_DECOHERED_RESIDUAL,1,0.990099009901,0.00990099009901,1.01,0.01,0,0.01,"-5,-3,-1,1,3,5",1,0.0001,7,NO,YES,YES,YES,DECOHERED_SELECTION_STABLE_NOT_EXACT
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0.01,1.0,C7_Q_DEP_COMPENSATED,1,0.990099009901,0.00990099009901,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0.01,1.0,C8_PASSIVE_TRANSIT_COMPENSATED_TEST,1,2.501,0,2.501,1.501,0,0,"-5,-3,-1,1,3,5",3,0.249001,9,NO,NO,NO,YES,PASSIVE_TRANSIT_REJECTED
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0.1,1.0,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,BASELINE_EXACT_ATTACHMENT
ideal:3:1:1,ideal,PASS_DERIVED_PQ,2,3,6,7,0.1,1.0,C1_COMPENSATED_NEUTRAL_MATTER,1,0.909090909091,0.0909090909091,1,0,0,0,"-5,-3,-1,1,3,5",1,0,7,YES,YES,YES,YES,CANON_CANDIDATE_EXACT_COMPENSATED
